Last Name,Year,Year Published,Decade,#Cited,Web of Science Citations,Title,Terminologies,Color,Astronomical Seasons,Dormant-Growing,Dry-Wet,Lightning,Cool-Hot,Defined?,Definitions,DormantStart,DormantEnd,GrowingStart,GrowingEnd,DormantStart2,DormantEnd2,DryStart1,DryEnd1,WetStart,WetEnd,DryStart2,DryEnd2,LightningStart,LightningEnd,Burn Months,Calendar.MonthsStart,Calendar.MonthsEnd,Calendar.MonthsStart2,Calendar.MonthsEnd2,WinterStartEx,WinterEndEx,SpringStartEx,SpringEndEx,SummerStartEx,SummerEndEx,FallStartEx,FallEndEx,WinterStartEx2,WinterEndEx2,DormantStartEx,DormantEndEx,GrowingStartEx,GrowingEndEx,GrowingStartEx2,GrowingEndEx2,DormantStartEx2,DormantEndEx2,DryStartEx,DryEndEx,WetStartEx,WetEndEx,LightningStartEx,LightningEndEx,Exact Date,Location1,GPS1,Latitude1,Longitude1,Location2,GPS2
Abrahamson,1984,1984-01-01,1980s,249,,Species Responses to Fire on the Florida Lake Wales Ridge,Winter-Summer,White,Yes,No,No,No,No,Yes,Winter.Summer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Janurary, May, June, July",.,.,.,.,2019-01-01,2019-01-30,2019-05-01,2019-06-20,2019-06-21,2019-07-31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Archbold Biological Station,"27°11'00.0""N 81°21'00.0""W",27.183333,-81.35,.,.
Addington,2015,2015-01-01,2010s,6,,"Restoring Longleaf Pine: Effects of Seasonal Prescribed Fire and Overstory Density on Vegetation Structure of a Young Longleaf Pine Plantation",Winter-Summer,White,Yes,No,No,No,No,No,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,"Summer = June-August, Winter = December-February",.,.,.,.,2019-01-01,2019-02-28,.,.,2019-06-01,2019-08-30,.,.,2019-12-01,2019-12-30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"February&June/2003,March&August/2008, December&August/2009",Black Jack Crossing GA,32°35' N 84°30' W,32.583333,-84.5,.,.
Boring,2004,2004-01-01,2000s,43,,"Restoring Longleaf Pine: Effects of Seasonal Prescribed Fire and Overstory Density on Vegetation Structure of a Young Longleaf Pine Plantation",Dormant-Growing,Red,No,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Growing = June, Dormant = March-Early April",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-03-01,2019-04-15,2019-06-01,2019-06-30,.,.,.,.,.,.,.,.,.,.,"Feburary&March&June/1993,1994,1995",Itchauway,"31°13'09.3""N 84°28'43.3""W",31.21925,-84.478694,.,.
Boyer,1990,1990-01-01,1990s,63,,Growlng season Burns for Control of Hardwoods in Longleat pine Stands,"Winter-Summer, Dormant-Growing",Pink,Yes,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Summer/Growing = July & August, Spring = March",.,.,.,.,.,.,2019-03-01,2019-03-30,2019-07-01,2019-08-31,.,.,.,.,.,.,2019-07-01,2019-08-31,.,.,.,.,.,.,.,.,.,.,"23July/1976, & 15Aug1978",Escambia Experimental Forest,"31°00'25.5""N 87°04'51.1""W",31.007083,-87.080861,.,.
Boyer,1992,1992-01-01,1990s,28,,Season of burn and hardwood development in young longleaf pine stands,"Winter-Summer, Dormant-Growing",Pink,Yes,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Summer/Growing = July-August, Winter/Dormant = January-February, Spring = April-May",.,.,.,.,2019-01-01,2019-02-28,2019-04-01,2019-05-30,2019-07-02,2019-09-01,.,.,.,.,2019-01-01,2019-02-28,2019-07-02,2019-09-01,.,.,.,.,.,.,.,.,.,.,.,Escambia Experimental Forest,"31°00'25.5""N 87°04'51.1""W",31.007083,-87.080861,.,.
Brewer,1994,1994-01-01,1990s,55,,"Effects of Fire Season and Soil Fertility on Clonal Growth in a Pyrophilic Forb, Pityopsis graminifolia",Dormant-Growing,Red,No,Yes,No,Yes,No,Yes,"Growing = April-October, Lightning = May",2019-01-01,2019-03-30,2019-04-01,2019-10-31,2019-11-01,2019-12-30,.,.,.,.,.,.,2019-05-01,2019-05-31,"Growing = August, Dormant = January, Lightning = May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-01-01,2019-01-30,2019-08-01,2019-08-30,.,.,.,.,.,.,.,.,2019-05-01,2019-05-30,"January&May&August/1990,1992,1994",St. Marks Wildlife Refuge,"30°07'38.6""N 84°18'29.1""W",30.127389,-84.308083,.,.
Brewer,1996,1996-01-01,1990s,19,,Effects of Fire-Generated Gaps on Growth and Reproduction of Golden Aster (Pityopsisgraminifolia),"Dormant-Growing,Lightning",Orange,No,Yes,No,Yes,No,Yes,"Growing = April-October, Lightning = May",2019-01-01,2019-03-30,2019-04-01,2019-10-31,2019-11-01,2019-12-30,.,.,.,.,.,.,2019-05-01,2019-05-31,"Growing = August, Dormant = January, Lightning = May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-01-01,2019-01-30,2019-08-01,2019-08-30,.,.,.,.,.,.,.,.,2019-05-01,2019-05-30,January&May&August/1992,St. Marks Wildlife Refuge,"30°07'38.6""N 84°18'29.1""W",30.127389,-84.308083,.,.
Brockway,2000,2000-01-01,2000s,102,,"Restoring longleaf pine wiregrass ecosystems: Hexazinone application enhances effects of prescribed fire",Dormant-Growing,Red,No,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Growing = June,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2019-06-01,2019-06-30,.,.,.,.,.,.,.,.,.,.,June/1995,Ocala National Forest,"29°28'00.0""N 81°50'00.0""W",29.466667,-81.833333,.,.
Brockway,1997,1997-01-01,1990s,296,,"Long-term effects of dormant-season prescribed fire on plant community diversity, structure and productivity in a longleaf pine wiregrass ecosystem",Dormant-Growing,Red,Yes,Yes,No,No,No,No,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Alapaha Experimental Range,"31°10'00.0""N 83°15'00.0""W",31.166667,-83.25,.,.
Carrington,2006,2006-01-01,2000s,12,,Effects of burning season and frequency on saw palmetto (Serenoa repens) flowering and fruiting,"Winter-Summer, Dormant-Growing",Pink,Yes,Yes,No,No,No,Yes,"Growing = April-July, Dormant = Aug-Mar, Winter = Nov-Feburary",2019-01-01,2019-03-30,2019-04-01,2019-07-30,2019-08-01,2019-12-30,.,.,.,.,.,.,.,.,"Growing = April-July, Winter = November-Feburary",.,.,.,.,2019-01-01,2019-02-28,.,.,.,.,.,.,2019-11-01,2019-12-30,.,.,2019-03-01,2019-07-30,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.
